Titulo,TIP,TIPO DE TIP
Agua Utilizada por día,La Organización Mundial de la Salud dice que son necesarios entre 50 y 100 litros de agua por persona en un día para cubrir las necesidades básicas ,Agua
Los dentitas dicen...,Los dentistas dicen que la duración del lavado de los dientes puede ser  de 1 minuto aproximadamente.,Agua
Cepillado de dientes,"Mientras lavas tus dientes, cierra la llave del agua. Ahorrarás hasta 20 litros de agua limpia.",Agua
Ahorrar Agua mientras lavo los platos,"Puedes lavar los platos de una familia de 4 personas en 5 minutos. Y si tienes la llave cerrada mientras lavas, ahorras un 40% del agua. En este caso 20 litros de agua. ",Agua
Duchas de 5 minutos,Puedes tomar duchas de 5 minutos y quedar impecable. Primera te mojas luego te enjabonas y finalmente retiras el jabón. ,Agua
Lavar tus manos.,"Puedes lavar tus manos en el mismo tiempo que cantas el cumpleaños feliz. Si lo haces con la llave cerrada, ahorras hasta litro y medio de agua",Agua
Lavar la ropa por la noche,Lavar la ropa en horas de la noche ayuda a que el consumo de agua sea inferior,Agua
llave de agua goteando,"Una llave de agua goteando desperdicia 320 litros de agua por semana. Si evitas este desperdicio, ahorras el equivalente a la cantidad de agua que necesita una persona para cubrir sus necesidades básicas durante seis días.",Agua
Batería del celular,"Siempre que no estés cargando la batería de tu celular, desconecta el cargador. Si lo dejas conectado continuará su consumo desperdiciando energía",Luz
Antes de prender el aire acondicionado,"Recuerda siempre antes de prender el aire acondicionado, revisar si abriendo las ventanas del lugar puedes generar ventilación natural",Luz
Aire acondicionado,"Si hace calor, abre las ventanas de la casa y deja circular el aire libremente. Ahorrarás en consumo de energía mientras refrescas naturalmente el ambiente. ",Luz
Reciclaje,"Separa los desechos en botes de basura diferentes, por ejemplo, orgánico, plástico, papel y vidrio. Así disminuyes la contaminación del planeta, evitando la acumulación de residuos en ríos, quebradas y otros espacios naturales.
",Reciclaje
Ducharse,Cuando estés en la ducha no juegues con el agua.  Bañarse dejando correr el agua puede hacerte desperdiciar hasta 100 litros cada 5 minutos,Agua
Lavar los platos,"Cuando laves los platos hazlo en 3 pasos:
1. Remoja los platos para dejarlos listos para enjabonar.
2. Enjabónalos completamente. Siempre mantén la llave cerrada
3 Enjuaga rápidamente
Si no se siguen estos 3 sencillos pasos puedes gastar hasta 100 litros de agua cada 10 minutos.",Agua
Luz,"Cuando salgas de una habitación y quede desocupada apaga las luces. Tener la luz encendida sin necesidad, genera desperdicio y contaminación.",Luz
Alimentos calientes,No guardes alimentos calientes en la nevera. Así ayudarás a que su motor no gaste más energía de la necesaria para enfriarlo.,Luz
Si tu papá se afeita,"Mientras tu papá se afeita, dile que cierre la llave del agua. Ahorrará hasta 20 litros de agua.",Agua
Según tus deshechos,"Cuando utilices el inodoro diferencia tu descarga según tus deshechos, así ahorras hasta 22 litros por descarga.",Agua
Evita prender el extractor,"tienes una ventana en el cuarto de baño, cuando te duches ábrela y evita prender el extractor. Ahorrarás energía eléctrica y tendrás aire puro para ventilar.",Luz
Usa lamparitas de bajo consumo,La energía consumida en iluminación ronda entre el 12 y el 26% del gasto total de la casa. Usa lamparitas de bajo consumo : ahorran hasta un 75% de energía.,Luz
Uso correcto de la calefacción,"
Si tienes calefacción central, gradúa el termostato a unos 20 grados centígrados y abrígate un poco más adentro de la casa. Cada grado suplementario representa un 7% más de consumo energético.
",Luz
Calienta más rápido el agua y consume menos gas,Tapa las ollas : el agua se va a calentar más rápido consumiendo un 20% menos de gas,Gas
Descongela la nevera,"
 Cada tanto, descongela el congelador: la escarcha crea un aislamiento que puede acarrear un 20% de consumo eléctrico suplementario.
",Luz
